Diameter midpoint (nm),Before spraying 2023/11/25 01:46:38 dN/dlogDp,Before spraying 2023/11/25 01:46:38 normalized (a.u.),After spraying 2023/11/25 06:36:09 dN/dlogDp,After spraying 2023/11/25 06:36:09 normalized (a.u.)
6.15,1.32237e+06,0.978661,2.86777e+06,0.0436996
6.38,1.44811e+06,1.07172,3.41523e+06,0.0520418
6.61,1.67072e+06,1.23647,3.59322e+06,0.054754
6.85,1.92572e+06,1.42519,4.29548e+06,0.0654553
7.1,2.14952e+06,1.59082,5.36168e+06,0.0817023
7.37,2.36865e+06,1.75299,7.16062e+06,0.109115
7.64,2.58903e+06,1.91609,1.01077e+07,0.154023
7.91,2.74955e+06,2.03489,1.25521e+07,0.191271
8.2,2.88138e+06,2.13246,1.56688e+07,0.238763
8.51,2.67115e+06,1.97687,1.8628e+07,0.283856
8.82,2.12865e+06,1.57538,2.25649e+07,0.343848
9.14,1.71973e+06,1.27274,2.87838e+07,0.438613
9.47,1.43298e+06,1.06052,3.49467e+07,0.532524
9.82,1.16946e+06,0.865496,4.09114e+07,0.623415
10.2,1.01228e+06,0.74917,4.50806e+07,0.686946
10.6,842978,0.623873,4.67526e+07,0.712424
10.9,743611,0.550333,4.524e+07,0.689375
11.3,611286,0.452402,4.12857e+07,0.629118
11.8,541994,0.40112,3.47937e+07,0.530193
12.2,446381,0.330359,2.8841e+07,0.439485
12.6,384958,0.2849,2.44058e+07,0.3719
13.1,331534,0.245362,2.069e+07,0.315278
13.6,270143,0.199928,1.64125e+07,0.250096
14.1,231271,0.17116,1.28449e+07,0.195733
14.6,203395,0.150529,9.92069e+06,0.151173
15.1,173433,0.128355,7.75245e+06,0.118133
15.7,144165,0.106694,7.19589e+06,0.109652
16.3,125833,0.0931264,1.06374e+07,0.162094
16.8,119702,0.0885895,2.24281e+07,0.341763
17.5,146977,0.108775,4.10257e+07,0.625157
18.1,274328,0.203025,5.45207e+07,0.830795
18.8,646414,0.478399,6.56247e+07,1
19.5,1.21003e+06,0.895524,5.22878e+07,0.79677
20.2,1.3512e+06,1,3.25352e+07,0.495777
20.9,875727,0.64811,2.68583e+07,0.409271
21.7,452642,0.334992,2.48013e+07,0.377927
22.5,264547,0.195787,2.20572e+07,0.336112
23.3,253277,0.187446,2.07594e+07,0.316335
24.1,268045,0.198375,1.79052e+07,0.272842
25,319975,0.236808,1.32023e+07,0.201179
25.9,355415,0.263036,9.5976e+06,0.14625
26.9,325674,0.241025,7.18053e+06,0.109418
27.9,248762,0.184104,5.65538e+06,0.0861776
28.9,201139,0.148859,4.19408e+06,0.0639101
30,165051,0.122151,2.98309e+06,0.0454568
31.1,134830,0.0997854,2.16337e+06,0.0329658
32.2,104426,0.0772835,1.53605e+06,0.0234066
33.4,82753.1,0.0612441,1.06244e+06,0.0161896
34.6,67703.1,0.0501058,731684,0.0111495
35.9,51325.1,0.0379848,486874,0.00741908
37.2,36558.8,0.0270565,322195,0.00490966
38.5,28356.3,0.020986,207772,0.00316606
40,22474.6,0.0166331,135115,0.00205891
41.4,15595.5,0.011542,89450.2,0.00136306
42.9,13356.6,0.00988501,59334.8,0.000904154
44.5,8931.58,0.0066101,50797.9,0.000774067
46.1,4774.92,0.00353383,51663.8,0.000787262
47.8,3891.52,0.00288004,45693.1,0.000696279
49.6,2917.23,0.00215899,31248.4,0.000476168
51.4,1487.84,0.00110112,23433.4,0.000357082
